Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Year
0,0,83,160,204,333,474,323,217,286,14,29,176.92
0,0,106,310,238,390,487,512,258,440,17,44,233.5
0,0,102,309,330,847,1011,523,541,123,2,17,317.08
0,0,190,368,353,900,1203,740,928,335,1,37,421.25
0,0,113,291,261,940,1316,812,790,173,1,41,394.83
0,0,108,388,191,1186,678,639,421,157,18,30,318
0,8,231,360,265,414,649,534,287,272,5,162,265.58
0,1,147,288,213,479,627,610,329,272,14,125,258.75
0,36,194,318,292,532,980,648,412,401,13,76,325.17
0,0,169,446,214,770,1031,721,561,458,4,91,372.08
0,0,136,378,326,434,1185,700,652,398,2,43,354.5
0,0,216,361,151,539,1434,530,512,156,4,19,326.83
0,0,181,289,187,672,1157,453,607,182,6,40,314.5
0,0,128,162,160,861,1373,777,475,174,1,87,349.83
0,137,478,786,616,1020,852,1081,583,301,3,90,495.58
0,1,269,633,368,880,234,508,427,344,12,124,316.67
2,0,45,127,146,171,375,209,149,219,5,25,122.75
1,0,40,139,91,161,455,265,290,317,19,39,151.42
0,0,99,174,223,227,513,249,267,223,3,15,166.08
3,0,116,172,360,127,323,540,110,143,0,0,157.83
5,0,102,196,171,160,196,669,129,140,0,0,147.33
3,0,100,165,264,256,362,717,111,196,0,0,181.17
0,2,59,128,173,376,668,310,183,274,19,51,186.92
0,0,83,56,104,339,528,356,195,335,17,59,172.67
0,0,59,25,146,288,573,254,209,323,26,58,163.42
0,0,25,154,188,272,659,310,196,359,25,30,184.83
0,0,9,178,225,126,383,200,114,217,26,53,127.58
0,0,59,365,118,508,542,365,227,375,14,57,219.17
0,0,119,250,56,385,733,540,286,391,18,52,235.83
0,0,155,109,78,455,1058,390,371,444,23,55,261.5
0,0,128,340,103,387,576,419,272,231,17,100,214.42
0,2,74,30,145,363,244,474,413,326,32,57,180
0,0,108,31,204,224,442,471,166,272,3,45,163.83
0,11,102,16,244,261,348,394,197,478,3,27,173.42
0,0,33,118,136,122,185,293,190,286,5,73,120.08
0,0,117,122,163,255,178,473,252,125,106,38,152.42
0,1,114,98,187,641,309,389,233,154,111,39,189.67
0,7,203,285,329,1267,1062,926,453,691,72,42,444.75
